Chr	Start	End	GeneID	Symbol	Description	Region	DistanceTSS	logFC	pValue	FDR	Direction
chr1	121259471	121259871	ENSMUSG00000003721	Insig2	insulin induced gene 2	Promoter (<=1kb)	447	-1.97828127640218	1.9654088130077999e-19	2.8753930934304104e-15	control
chr13	58421609	58422009	ENSMUSG00000021552	Gkap1	G kinase anchoring protein 1	Promoter (<=1kb)	0	0.9073139685093901	5.44298344334109e-12	3.98154238880401e-08	treated
chr4	11966120	11966520	ENSMUSG00000049225	Pdp1	pyruvate dehydrogenase phosphatase catalytic subunit 1	Promoter (<=1kb)	0	0.820798547243469	1.21516696219632e-10	2.7820163751333606e-07	treated
chr19	36711052	36711452	ENSMUSG00000067279	Ppp1r3c	protein phosphatase 1, regulatory subunit 3C	Promoter (2-3kb)	2552	-1.58195599547711	1.2901747561945802e-10	2.7820163751333606e-07	control
chr1	52271955	52272355	ENSMUSG00000026103	Gls	glutaminase	Promoter (<=1kb)	36	0.812942832535566	1.7057420397349802e-10	3.11937575516535e-07	treated
chr14	48358296	48358696	ENSMUSG00000021846	Peli2	pellino 2	Promoter (<=1kb)	0	0.8553805693977529	1.96224360993878e-10	3.1335985854941803e-07	treated
chr1	167112260	167112660	ENSMUSG00000026558	Uck2	uridine-cytidine kinase 2	Promoter (<=1kb)	36	0.819991350147927	2.14189923820518e-10	3.1335985854941803e-07	treated
chr8	74079883	74080283	ENSMUSG00000004383	Large1	LARGE xylosyl- and glucuronyltransferase 1	Promoter (<=1kb)	0	0.74516285935857	3.06652933126568e-10	3.96648009174564e-07	treated
chr2	60711385	60711785	ENSMUSG00000026970	Rbms1	RNA binding motif, single stranded interacting protein 1	Promoter (<=1kb)	0	0.78804005288094	3.29690890730118e-10	3.96648009174564e-07	treated
chr5	150597310	150597710	ENSMUSG00000034021	Pds5b	PDS5 cohesin associated factor B	Promoter (<=1kb)	18	0.898883470455202	3.72921369528762e-10	3.96648009174564e-07	treated
chr9	70840127	70840527	ENSMUSG00000032207	Lipc	lipase, hepatic	Promoter (1-2kb)	1563	-1.5755229626780802	3.7956747289431997e-10	3.96648009174564e-07	control
chr13	59704787	59705187	ENSMUSG00000021557	Agtpbp1	ATP/GTP binding protein 1	Promoter (<=1kb)	0	0.824830345375285	4.1584103970717203e-10	4.0558362739439504e-07	treated
chr6	83432768	83433168	ENSMUSG00000034832	Tet3	tet methylcytosine dioxygenase 3	Promoter (<=1kb)	206	0.7837836109434259	4.931919448952521e-10	4.5096238461359604e-07	treated
chr2	150746272	150746672	ENSMUSG00000032046	Abhd12	abhydrolase domain containing 12	Promoter (<=1kb)	0	0.71263724927886	6.40630820640715e-10	5.51319347410216e-07	treated
chr1	59952126	59952526	ENSMUSG00000041040	Fam117b	family with sequence similarity 117, member B	Promoter (<=1kb)	0	0.78392598071452	7.989194207189509e-10	6.24036046676825e-07	treated
chr2	104542260	104542660	ENSMUSG00000027175	Tcp11l1	t-complex 11 like 1	Promoter (<=1kb)	0	0.790239817738615	8.10436424255617e-10	6.24036046676825e-07	treated
